event_id,occurred_at,system_id,system_type,component,host,metric_name,metric_value,metric_unit,severity,reported_at
EVT-000009040,2026-01-22T21:38:05.3406530Z,SYS-0293,cache,auth,node-40,queue_depth,4544,count,INFO,2026-01-22T21:38:09.3406530Z
EVT-000009041,2026-01-26T23:06:38.3406690Z,SYS-0470,cache,sync,node-36,cpu_usage,44.44,%,INFO,2026-01-26T23:06:52.3406690Z
EVT-000009042,2026-01-20T13:34:15.3406730Z,SYS-0214,worker,dispatcher,node-06,latency_ms,769,ms,INFO,2026-01-20T13:34:24.3406730Z
EVT-000009043,2026-01-25T17:26:11.3406760Z,SYS-0496,cache,ingest,node-04,queue_depth,3667,count,INFO,2026-01-25T17:26:39.3406760Z
EVT-000009044,2026-01-22T07:25:04.3406790Z,SYS-0009,worker,sync,node-38,latency_ms,1257.4,ms,ERROR,2026-01-22T07:25:20.3406790Z
EVT-000009045,2026-01-25T03:54:04.3406830Z,SYS-0343,cache,auth,node-21,cpu_usage,33.53,%,INFO,2026-01-25T03:54:13.3406830Z
EVT-000009046,2026-01-26T18:00:29.3406860Z,SYS-0334,db,dispatcher,node-18,latency_ms,989.5,ms,WARN,2026-01-26T18:00:31.3406860Z
EVT-000009047,2026-01-24T01:12:12.3406890Z,SYS-0439,cache,dispatcher,node-36,mem_usage,18051,MB,INFO,2026-01-24T01:12:18.3406890Z
EVT-000009048,2026-01-23T01:36:51.3406940Z,SYS-0391,worker,ingest,node-39,cpu_usage,28.97,%,INFO,2026-01-23T01:37:08.3406940Z
EVT-000009049,2026-01-26T06:42:47.3406990Z,SYS-0398,worker,sync,node-47,mem_usage,17328,MB,INFO,2026-01-26T06:43:07.3406990Z
EVT-000009050,2026-01-27T00:41:32.3407020Z,SYS-0279,api,sync,node-49,latency_ms,1273.7,ms,ERROR,2026-01-27T00:41:42.3407020Z
EVT-000009051,2026-01-25T20:36:37.3407060Z,SYS-0190,worker,dispatcher,node-49,cpu_usage,93.18,%,ERROR,2026-01-25T20:36:41.3407060Z
EVT-000009052,2026-01-24T22:50:17.3407090Z,SYS-0260,api,ingest,node-43,queue_depth,2490,count,INFO,2026-01-24T22:50:29.3407090Z
EVT-000009053,2026-01-21T13:46:59.3407110Z,SYS-0054,worker,ingest,node-34,cpu_usage,15.56,%,INFO,2026-01-21T13:47:09.3407110Z
EVT-000009054,2026-01-24T03:57:22.3407140Z,SYS-0384,api,auth,node-08,cpu_usage,46.49,%,INFO,2026-01-24T03:57:50.3407140Z
EVT-000009055,2026-01-23T04:52:22.3407170Z,SYS-0141,worker,sync,node-33,mem_usage,19968,MB,INFO,2026-01-23T04:52:46.3407170Z
EVT-000009056,2026-01-26T16:31:13.3407200Z,SYS-0032,worker,sync,node-13,latency_ms,405.8,ms,INFO,2026-01-26T16:31:14.3407200Z
EVT-000009057,2026-01-26T05:48:05.3407240Z,SYS-0444,cache,dispatcher,node-20,mem_usage,11506,MB,INFO,2026-01-26T05:48:12.3407240Z
