event_id,occurred_at,system_id,system_type,component,host,metric_name,metric_value,metric_unit,severity,reported_at
EVT-000004285,2026-01-25T20:07:13.2610470Z,SYS-0323,cache,auth,node-39,queue_depth,1823,count,INFO,2026-01-25T20:07:26.2610470Z
EVT-000004286,2026-01-24T18:26:04.2610610Z,SYS-0464,cache,ingest,node-13,mem_usage,2756,MB,INFO,2026-01-24T18:26:15.2610610Z
EVT-000004287,2026-01-22T13:41:21.2610680Z,SYS-0152,db,ingest,node-45,cpu_usage,67.34,%,INFO,2026-01-22T13:41:35.2610680Z
EVT-000004288,2026-01-23T19:31:40.2610700Z,SYS-0155,api,auth,node-48,cpu_usage,76.99,%,WARN,2026-01-23T19:31:57.2610700Z
EVT-000004289,2026-01-24T14:23:52.2610730Z,SYS-0464,worker,dispatcher,node-01,cpu_usage,79.76,%,WARN,2026-01-24T14:24:16.2610730Z
EVT-000004290,2026-01-23T03:13:30.2610750Z,SYS-0250,api,auth,node-40,latency_ms,469.2,ms,INFO,2026-01-23T03:13:48.2610750Z
EVT-000004291,2026-01-21T20:53:12.2610770Z,SYS-0412,api,ingest,node-10,latency_ms,894,ms,WARN,2026-01-21T20:53:40.2610770Z
EVT-000004292,2026-01-24T01:49:40.2610790Z,SYS-0066,db,sync,node-20,cpu_usage,25.32,%,INFO,2026-01-24T01:49:43.2610790Z
EVT-000004293,2026-01-26T06:14:04.2610820Z,SYS-0213,cache,sync,node-49,cpu_usage,35.51,%,INFO,2026-01-26T06:14:18.2610820Z
EVT-000004294,2026-01-23T00:36:59.2610840Z,SYS-0141,cache,sync,node-47,queue_depth,4280,count,INFO,2026-01-23T00:36:59.2610840Z
EVT-000004295,2026-01-23T00:51:13.2610870Z,SYS-0302,db,auth,node-46,cpu_usage,31.43,%,INFO,2026-01-23T00:51:23.2610870Z
EVT-000004296,2026-01-23T01:18:39.2610890Z,SYS-0365,cache,dispatcher,node-30,mem_usage,31508,MB,INFO,2026-01-23T01:18:47.2610890Z
EVT-000004297,2026-01-24T01:16:30.2610910Z,SYS-0333,cache,sync,node-46,latency_ms,889.2,ms,WARN,2026-01-24T01:16:44.2610910Z
EVT-000004298,2026-01-25T04:18:02.2610930Z,SYS-0474,api,dispatcher,node-10,cpu_usage,77.4,%,WARN,2026-01-25T04:18:10.2610930Z
EVT-000004299,2026-01-20T08:47:13.2610960Z,SYS-0029,worker,dispatcher,node-36,cpu_usage,50.87,%,INFO,2026-01-20T08:47:16.2610960Z
EVT-000004300,2026-01-26T08:38:44.2610980Z,SYS-0185,cache,sync,node-11,mem_usage,17775,MB,INFO,2026-01-26T08:38:53.2610980Z
EVT-000004301,2026-01-27T02:04:00.2611000Z,SYS-0105,api,sync,node-38,mem_usage,21807,MB,INFO,2026-01-27T02:04:00.2611000Z
EVT-000004302,2026-01-26T01:11:16.2611020Z,SYS-0033,db,dispatcher,node-48,mem_usage,13542,MB,INFO,2026-01-26T01:11:43.2611020Z
EVT-000004303,2026-01-25T20:13:34.2611040Z,SYS-0330,db,ingest,node-44,cpu_usage,83.47,%,WARN,2026-01-25T20:13:38.2611040Z
EVT-000004304,2026-01-27T01:05:51.2611070Z,SYS-0463,api,ingest,node-01,mem_usage,7773,MB,INFO,2026-01-27T01:06:03.2611070Z
EVT-000004305,2026-01-21T14:44:17.2611090Z,SYS-0029,db,dispatcher,node-02,queue_depth,2610,count,INFO,2026-01-21T14:44:28.2611090Z
EVT-000004306,2026-01-21T23:12:43.2611110Z,SYS-0230,cache,ingest,node-21,queue_depth,4991,count,INFO,2026-01-21T23:13:11.2611110Z
EVT-000004307,2026-01-26T04:47:48.2611140Z,SYS-0409,worker,ingest,node-43,cpu_usage,26.61,%,INFO,2026-01-26T04:47:58.2611140Z
EVT-000004308,2026-01-22T07:42:11.2611150Z,SYS-0475,api,dispatcher,node-12,cpu_usage,5.67,%,INFO,2026-01-22T07:42:36.2611150Z
EVT-000004309,2026-01-24T07:29:58.2611180Z,SYS-0321,db,dispatcher,node-39,mem_usage,4690,MB,INFO,2026-01-24T07:30:02.2611180Z
EVT-000004310,2026-01-22T18:18:48.2611200Z,SYS-0403,api,sync,node-20,cpu_usage,74.82,%,WARN,2026-01-22T18:19:15.2611200Z
EVT-000004311,2026-01-24T08:18:12.2611220Z,SYS-0251,db,auth,node-49,queue_depth,810,count,INFO,2026-01-24T08:18:36.2611220Z
EVT-000004312,2026-01-25T04:34:53.2611240Z,SYS-0228,db,auth,node-19,queue_depth,2835,count,INFO,2026-01-25T04:35:06.2611240Z
EVT-000004313,2026-01-23T11:06:11.2611270Z,SYS-0043,cache,dispatcher,node-47,cpu_usage,91.21,%,ERROR,2026-01-23T11:06:31.2611270Z
EVT-000004314,2026-01-26T08:37:47.2611290Z,SYS-0465,worker,auth,node-42,latency_ms,1139.6,ms,WARN,2026-01-26T08:37:52.2611290Z
EVT-000004315,2026-01-25T23:35:32.2611310Z,SYS-0252,cache,ingest,node-25,latency_ms,1083.1,ms,WARN,2026-01-25T23:35:46.2611310Z
EVT-000004316,2026-01-23T23:53:53.2611330Z,SYS-0087,api,sync,node-39,cpu_usage,8.2,%,INFO,2026-01-23T23:54:00.2611330Z
EVT-000004317,2026-01-21T06:07:01.2611350Z,SYS-0431,cache,sync,node-20,cpu_usage,67.15,%,INFO,2026-01-21T06:07:17.2611350Z
EVT-000004318,2026-01-20T05:17:07.2611370Z,SYS-0034,db,auth,node-12,cpu_usage,54.73,%,INFO,2026-01-20T05:17:28.2611370Z
EVT-000004319,2026-01-22T17:56:33.2611390Z,SYS-0262,cache,dispatcher,node-38,latency_ms,1181.3,ms,WARN,2026-01-22T17:56:44.2611390Z
EVT-000004320,2026-01-22T17:12:06.2611420Z,SYS-0322,worker,dispatcher,node-48,queue_depth,3730,count,INFO,2026-01-22T17:12:32.2611420Z
EVT-000004321,2026-01-25T23:38:44.2611450Z,SYS-0484,cache,dispatcher,node-42,mem_usage,23490,MB,INFO,2026-01-25T23:39:08.2611450Z
EVT-000004322,2026-01-24T14:21:16.2611470Z,SYS-0034,api,sync,node-16,queue_depth,4658,count,INFO,2026-01-24T14:21:34.2611470Z
EVT-000004323,2026-01-24T09:13:07.2611490Z,SYS-0055,db,sync,node-07,cpu_usage,67.2,%,INFO,2026-01-24T09:13:09.2611490Z
EVT-000004324,2026-01-20T18:16:26.2611510Z,SYS-0167,cache,dispatcher,node-35,latency_ms,1322.9,ms,ERROR,2026-01-20T18:16:35.2611510Z
EVT-000004325,2026-01-25T10:18:39.2611530Z,SYS-0433,api,sync,node-15,queue_depth,724,count,INFO,2026-01-25T10:19:03.2611530Z
EVT-000004326,2026-01-22T06:00:50.2611550Z,SYS-0370,api,ingest,node-32,mem_usage,10880,MB,INFO,2026-01-22T06:01:11.2611550Z
EVT-000004327,2026-01-22T02:01:47.2611570Z,SYS-0463,api,dispatcher,node-49,mem_usage,16640,MB,INFO,2026-01-22T02:01:55.2611570Z
EVT-000004328,2026-01-20T22:42:12.2611590Z,SYS-0207,cache,ingest,node-26,latency_ms,712,ms,INFO,2026-01-20T22:42:17.2611590Z
EVT-000004329,2026-01-26T18:26:41.2611610Z,SYS-0135,api,sync,node-25,queue_depth,381,count,INFO,2026-01-26T18:27:09.2611610Z
EVT-000004330,2026-01-22T00:34:49.2611640Z,SYS-0191,worker,sync,node-06,latency_ms,1136.2,ms,WARN,2026-01-22T00:34:49.2611640Z
EVT-000004331,2026-01-21T07:49:19.2611660Z,SYS-0114,api,dispatcher,node-38,cpu_usage,88.51,%,ERROR,2026-01-21T07:49:29.2611660Z
