event_id,occurred_at,system_id,system_type,component,host,metric_name,metric_value,metric_unit,severity,reported_at
EVT-000007318,2026-01-26T20:52:00.3127330Z,SYS-0211,cache,dispatcher,node-26,latency_ms,1052.6,ms,WARN,2026-01-26T20:52:08.3127330Z
EVT-000007319,2026-01-24T18:10:02.3127480Z,SYS-0092,cache,dispatcher,node-37,queue_depth,495,count,INFO,2026-01-24T18:10:10.3127480Z
EVT-000007320,2026-01-25T09:16:21.3127520Z,SYS-0166,cache,ingest,node-18,mem_usage,16753,MB,INFO,2026-01-25T09:16:24.3127520Z
EVT-000007321,2026-01-21T19:16:36.3127560Z,SYS-0018,worker,ingest,node-08,mem_usage,10780,MB,INFO,2026-01-21T19:16:42.3127560Z
EVT-000007322,2026-01-20T17:13:23.3127600Z,SYS-0284,worker,auth,node-17,mem_usage,26539,MB,INFO,2026-01-20T17:13:29.3127600Z
EVT-000007323,2026-01-23T02:06:33.3127630Z,SYS-0284,worker,sync,node-40,mem_usage,5571,MB,INFO,2026-01-23T02:06:49.3127630Z
EVT-000007324,2026-01-22T00:03:59.3127670Z,SYS-0178,worker,dispatcher,node-02,cpu_usage,22.43,%,INFO,2026-01-22T00:04:26.3127670Z
EVT-000007325,2026-01-21T15:08:36.3127700Z,SYS-0335,cache,sync,node-26,cpu_usage,85.49,%,ERROR,2026-01-21T15:09:01.3127700Z
EVT-000007326,2026-01-20T13:31:35.3127740Z,SYS-0098,db,auth,node-14,latency_ms,34.1,ms,INFO,2026-01-20T13:31:50.3127740Z
EVT-000007327,2026-01-21T06:30:56.3127790Z,SYS-0006,worker,dispatcher,node-39,cpu_usage,45.61,%,INFO,2026-01-21T06:31:22.3127790Z
EVT-000007328,2026-01-26T06:38:31.3127830Z,SYS-0387,api,dispatcher,node-10,queue_depth,3716,count,INFO,2026-01-26T06:38:42.3127830Z
EVT-000007329,2026-01-25T20:07:15.3127860Z,SYS-0280,worker,ingest,node-29,mem_usage,13760,MB,INFO,2026-01-25T20:07:35.3127860Z
EVT-000007330,2026-01-22T14:55:06.3127890Z,SYS-0352,worker,ingest,node-31,latency_ms,491.4,ms,INFO,2026-01-22T14:55:16.3127890Z
EVT-000007331,2026-01-21T21:58:14.3127930Z,SYS-0176,api,auth,node-34,mem_usage,30970,MB,INFO,2026-01-21T21:58:20.3127930Z
EVT-000007332,2026-01-25T02:19:18.3127960Z,SYS-0462,db,ingest,node-44,cpu_usage,58.64,%,INFO,2026-01-25T02:19:31.3127960Z
EVT-000007333,2026-01-25T19:46:26.3127990Z,SYS-0251,cache,ingest,node-32,mem_usage,12350,MB,INFO,2026-01-25T19:46:43.3127990Z
EVT-000007334,2026-01-20T23:21:28.3128030Z,SYS-0107,api,auth,node-34,latency_ms,331.9,ms,INFO,2026-01-20T23:21:41.3128030Z
EVT-000007335,2026-01-20T08:25:33.3128070Z,SYS-0233,worker,dispatcher,node-16,queue_depth,2231,count,INFO,2026-01-20T08:25:51.3128070Z
EVT-000007336,2026-01-23T04:08:28.3128110Z,SYS-0260,worker,ingest,node-35,queue_depth,1500,count,INFO,2026-01-23T04:08:31.3128110Z
EVT-000007337,2026-01-20T07:09:51.3128140Z,SYS-0093,api,auth,node-10,queue_depth,71,count,INFO,2026-01-20T07:10:20.3128140Z
EVT-000007338,2026-01-24T12:51:25.3128180Z,SYS-0023,worker,sync,node-14,latency_ms,129.2,ms,INFO,2026-01-24T12:51:46.3128180Z
EVT-000007339,2026-01-22T02:58:24.3128210Z,SYS-0363,worker,sync,node-32,queue_depth,4885,count,INFO,2026-01-22T02:58:25.3128210Z
EVT-000007340,2026-01-20T18:08:26.3128240Z,SYS-0410,api,auth,node-45,queue_depth,2431,count,INFO,2026-01-20T18:08:53.3128240Z
EVT-000007341,2026-01-21T07:43:21.3128280Z,SYS-0276,cache,sync,node-34,cpu_usage,67.64,%,INFO,2026-01-21T07:43:34.3128280Z
EVT-000007342,2026-01-22T00:00:14.3128310Z,SYS-0237,cache,sync,node-16,latency_ms,1070.8,ms,WARN,2026-01-22T00:00:27.3128310Z
EVT-000007343,2026-01-24T16:17:57.3128340Z,SYS-0032,cache,dispatcher,node-20,latency_ms,1412.4,ms,ERROR,2026-01-24T16:18:03.3128340Z
EVT-000007344,2026-01-25T07:59:53.3128390Z,SYS-0219,api,sync,node-26,latency_ms,121.7,ms,INFO,2026-01-25T08:00:09.3128390Z
EVT-000007345,2026-01-22T20:01:40.3128420Z,SYS-0251,db,ingest,node-44,queue_depth,3507,count,INFO,2026-01-22T20:01:40.3128420Z
EVT-000007346,2026-01-26T15:02:10.3128460Z,SYS-0223,cache,auth,node-44,queue_depth,2084,count,INFO,2026-01-26T15:02:13.3128460Z
EVT-000007347,2026-01-26T21:46:23.3128490Z,SYS-0179,db,dispatcher,node-38,queue_depth,2634,count,INFO,2026-01-26T21:46:41.3128490Z
EVT-000007348,2026-01-23T07:12:44.3128530Z,SYS-0311,worker,auth,node-01,mem_usage,10888,MB,INFO,2026-01-23T07:12:55.3128530Z
EVT-000007349,2026-01-21T06:03:13.3128560Z,SYS-0301,db,dispatcher,node-21,latency_ms,1294.6,ms,ERROR,2026-01-21T06:03:23.3128560Z
EVT-000007350,2026-01-23T15:02:06.3128600Z,SYS-0163,cache,dispatcher,node-44,latency_ms,728.5,ms,INFO,2026-01-23T15:02:06.3128600Z
EVT-000007351,2026-01-26T19:12:39.3128630Z,SYS-0497,worker,auth,node-11,cpu_usage,49.88,%,INFO,2026-01-26T19:13:08.3128630Z
EVT-000007352,2026-01-22T05:50:51.3128670Z,SYS-0260,api,sync,node-16,mem_usage,20116,MB,INFO,2026-01-22T05:50:54.3128670Z
EVT-000007353,2026-01-26T07:58:44.3128710Z,SYS-0211,cache,sync,node-48,queue_depth,3332,count,INFO,2026-01-26T07:58:59.3128710Z
EVT-000007354,2026-01-21T06:10:41.3128750Z,SYS-0416,worker,sync,node-27,queue_depth,735,count,INFO,2026-01-21T06:10:45.3128750Z
EVT-000007355,2026-01-25T23:56:42.3128780Z,SYS-0386,api,auth,node-03,cpu_usage,35.74,%,INFO,2026-01-25T23:56:45.3128780Z
EVT-000007356,2026-01-20T21:05:48.3128820Z,SYS-0332,cache,dispatcher,node-44,queue_depth,2688,count,INFO,2026-01-20T21:06:09.3128820Z
EVT-000007357,2026-01-24T07:41:47.3128850Z,SYS-0125,cache,sync,node-01,cpu_usage,52.72,%,INFO,2026-01-24T07:41:56.3128850Z
EVT-000007358,2026-01-24T10:31:28.3128880Z,SYS-0070,db,sync,node-37,cpu_usage,50.89,%,INFO,2026-01-24T10:31:39.3128880Z
